instance,total,n0,ub0,n4,ub4,average_ub0,average_ub4
random-32-32-10&&400,51,51,96.49768,51,93.67884,1.89211,1.83684
maze-128-128-1&&300,51,47,135.00066999999996,50,142.42014,2.87235,2.8484
maze-128-128-1&&200,50,50,96.75625999999995,50,89.89156999999997,1.93513,1.79783
maze-128-128-1&&100,50,50,74.55138999999997,50,73.05265,1.49103,1.46105
Berlin_1_256&&1000,50,50,51.149290000000015,50,51.07745000000002,1.02299,1.02155
den312d&&400,50,50,91.72644,50,91.04574000000004,1.83453,1.82091
den312d&&600,52,52,137.36558999999997,52,131.94986000000003,2.64165,2.5375
den312d&&800,57,57,217.33818,57,204.80594,3.81295,3.59309
den312d&&1000,50,50,241.59051,50,229.90559,4.83181,4.59811
warehouse-20-40-10-2-1&&1000,50,50,55.55623,50,54.88429,1.11112,1.09769
brc202d&&2000,50,50,67.77552000000001,50,66.35611,1.35551,1.32712
random-32-32-10&&460,50,50,109.69263,50,105.24931000000004,2.19385,2.10499
maze-32-32-4&&100,100,100,137.01382,100,136.50026,1.37014,1.365
maze-32-32-4&&200,250,250,636.06476,250,630.6855700000004,2.54426,2.52274
maze-128-128-2&&300,50,50,60.91107,50,60.0592,1.21822,1.20118
maze-128-128-2&&400,50,50,63.22752,50,62.17585000000001,1.26455,1.24352
